date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:43	130446/130446	---M-Z	200	added ('OK')	text/html	etag:%221fd8e-63ec2f3465358-gzip%22	https://kat-coin.xyz/	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/kat-coin.xyz/index.html	(from )
11:22:43	138/138	---M-Z	200	added ('OK')	text/plain	etag:%22103-63eae4c7ec298-gzip%22	https://kat-coin.xyz/robots.txt		(from )
11:22:44	2904/2904	---M--	200	added ('OK')	image/png	etag:%22b63966cd5a55755978be2b13749b6372%22	https://static.tildacdn.net/tild6165-6562-4437-a630-336663343061/GJ933kXawAA1qAk_1.png	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/tild6165-6562-4437-a630-336663343061/GJ933kXawAA1qAk_1.png	(from https://kat-coin.xyz/)
11:22:44	154272/154272	---M--	200	added ('OK')	image/png	etag:%220d97ad75f24536ade745eee1f8b9ad1f%22	https://static.tildacdn.net/tild6264-6235-4633-a334-633162663362/Frame_1_3.png	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/tild6264-6235-4633-a334-633162663362/Frame_1_3.png	(from https://kat-coin.xyz/)
11:22:45	2904/2904	---M--	200	added ('OK')	image/png	etag:%22b63966cd5a55755978be2b13749b6372%22	https://static.tildacdn.net/tild3165-3466-4733-a530-333831356566/GJ933kXawAA1qAk_1.png	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/tild3165-3466-4733-a530-333831356566/GJ933kXawAA1qAk_1.png	(from https://kat-coin.xyz/)
11:22:45	53475/53475	---M--	200	added ('OK')	image/png	etag:%227d749587a209be89af5c4ca4d3ac6947%22	https://static.tildacdn.net/tild6565-6532-4738-b630-353334633237/GJ933kXawAA1qAk_1_1.png	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/tild6565-6532-4738-b630-353334633237/GJ933kXawAA1qAk_1_1.png	(from https://kat-coin.xyz/)
11:22:46	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%226811fecd-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://kat-coin.xyz/)
11:22:46	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.net/css/tilda-grid-3.0.min.css	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/css/tilda-grid-3.0.min.css	(from https://kat-coin.xyz/)
11:22:46	6634/6634	---MCZ	200	added ('OK')	text/css	date:Sun,%2014%20Sep%202025%2013:34:46%20GMT	https://static.tildacdn.net/ws/project10370255/tilda-blocks-page77843286.min.css?t=1757856886	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/ws/project10370255/tilda-blocks-page77843286.min8025.css	(from https://kat-coin.xyz/)
11:22:46	2679/2679	---MCZ	200	added ('OK')	text/css	etag:W/%22687f7d39-a77%22	https://static.tildacdn.net/css/tilda-animation-2.0.min.css	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/css/tilda-animation-2.0.min.css	(from https://kat-coin.xyz/)
11:22:47	2/2	---M--	200	added ('OK')	text/css	etag:%222-626e75fa2c527%22	https://kat-coin.xyz/custom.css?t=1757856886	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/kat-coin.xyz/custom8025.css	(from https://kat-coin.xyz/)
11:22:47	185641/185641	---MCZ	200	added ('OK')	application/javascript	etag:W/%22683585e3-2d529%22	https://static.tildacdn.net/js/tilda-polyfill-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-polyfill-1.0.min.js	(from https://kat-coin.xyz/)
11:22:48	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%22605342c5-16b88%22	https://static.tildacdn.net/js/jquery-1.10.2.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/jquery-1.10.2.min.js	(from https://kat-coin.xyz/)
11:22:48	22478/22478	---MCZ	200	added ('OK')	application/javascript	etag:W/%22686e3794-57ce%22	https://static.tildacdn.net/js/tilda-scripts-3.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-scripts-3.0.min.js	(from https://kat-coin.xyz/)
11:22:48	161/161	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2014%20Sep%202025%2013:34:46%20GMT	https://static.tildacdn.net/ws/project10370255/tilda-blocks-page77843286.min.js?t=1757856886	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/ws/project10370255/tilda-blocks-page77843286.min8025.js	(from https://kat-coin.xyz/)
11:22:48	20040/20040	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268ac17ae-4e48%22	https://static.tildacdn.net/js/tilda-lazyload-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-lazyload-1.0.min.js	(from https://kat-coin.xyz/)
11:22:48	738/738	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222e2-6390c2e1b4351%22	https://kat-coin.xyz/OPR/	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/kat-coin.xyz/OPR/index.html	(from https://kat-coin.xyz/)
11:22:49	35303/35303	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268a56d22-89e7%22	https://static.tildacdn.net/js/tilda-animation-2.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-animation-2.0.min.js	(from https://kat-coin.xyz/)
11:22:49	41137/41137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268b1671e-a0b1%22	https://static.tildacdn.net/js/tilda-zero-1.1.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-zero-1.1.min.js	(from https://kat-coin.xyz/)
11:22:49	40901/40901	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268ac5c4d-9fc5%22	https://static.tildacdn.net/js/tilda-animation-sbs-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-animation-sbs-1.0.min.js	(from https://kat-coin.xyz/)
11:22:49	7589/7589	---MCZ	200	added ('OK')	application/javascript	etag:W/%22682c3b71-1da5%22	https://static.tildacdn.net/js/tilda-zero-scale-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-zero-scale-1.0.min.js	(from https://kat-coin.xyz/)
11:22:49	13439/13439	---MCZ	200	added ('OK')	application/javascript	etag:W/%22686fb37a-347f%22	https://static.tildacdn.net/js/tilda-events-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-events-1.0.min.js	(from https://kat-coin.xyz/)
11:22:50	380/380	---MC-	200	added ('OK')	image/png	date:Sun,%2014%20Sep%202025%2016:22:48%20GMT	https://thb.tildacdn.net/tild3930-6435-4438-a533-343339383963/-/resize/20x/IMG_6779_1-min.png	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/thb.tildacdn.net/tild3930-6435-4438-a533-343339383963/-/resize/20x/IMG_6779_1-min.png	(from https://kat-coin.xyz/)
11:22:50	9690/9690	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268189488-25da%22	https://static.tildacdn.net/js/tilda-stat-1.0.min.js	C:/Users/PC/Videos/COPYWEBS/kat-coin.xyz/static.tildacdn.net/js/tilda-stat-1.0.min.js	(from https://kat-coin.xyz/)
